Blog Name,Tags,Note_Count
xomodelmelissa,"['eco', 'ecofashion', 'plantatree', 'vegan']",0
christinelovespaleo,"['vegan', 'foodphotography', 'ichristineme', 'dairyfree', 'glutenfree', 'noaddedsugar', 'inmygarden', 'liquidlunch', 'smoothie', 'drink', 'paleo', 'natural', 'refinedsugarfree', 'greensmoothie', 'healthy']",0
hikinghippiehemps,"['hippie', 'crystalhealing', 'yoga', 'vegan', 'crystals', 'lapislazuli', 'hempjewelry', 'hemp', 'handmade', 'shopsmall', 'yogi', 'hippy', 'smallbusiness', 'healing']",0
laurensveganuniversity,"['vegan', 'veganlife', 'friendsnotfood', 'vegetarian', 'healthy', 'veganism', 'veganlove', 'vegansofinstagram', 'vegans of tumblr', 'plantbased', 'vegano', 'rawfood', 'vegans']",0
yellowpaintedlife,"['pasta', 'vegan']",0
mollyrosebalms,"['vegan', 'holiday', 'presents', 'holidays', 'christmasshopping', 'christmasgiftguide', 'onlineshopping', 'veganholiday', 'sale', 'holidaygiftguide', 'shopping', 'beauty', 'gifts', 'veganchristmas', 'pumpkinpie', 'christmas', 'holidaygifts', 'crueltyfree', 'veganthanksgiving', 'thanksgiving', 'natural', 'organic', 'gift', 'shopsmall', 'xmas', 'lipbalm', 'coupon', 'christmasgiftideas']",0
vegankween,"['vegan', 'personal', 'V MAD', 'veganism']",9
iscreamnails,"['nailart', 'vegan', 'nailpolish', 'nails', 'iscreamnails', 'crueltyfree', 'notd']",1
healthyanddelish,"['vegan omelette', 'chickpea flour', 'vegan protein', 'vegan', 'delish']",0
dreamstreamss,"['vegan', 'i need vegan friends']",0
sweetsimplevegan,"['veganburger', 'bestofvegan', 'sweetsimplevegan', 'vegan', 'veganfoodshare']",2
runningonsmoothies,"['my food', 'vegan', 'my workouts', 'larsonland', 'minnah', 'hopper']",8
misskreatorblog,"['repost', 'idigitaldetoxisoverdueagain', 'backtoreallife', 'vegan', 'sorrynoquote', 'kreator']",0
magpiemirror-blog,"['keepitreal', 'veganfoodshare', 'vegan', 'lazycook', 'producebox', 'plantbased', 'veganfortheanimals', 'farmersmarket', 'veganofig', 'durhamfarmersmarket', 'keepitsimple', 'plantshaveprotein']",0
galanyancy,"['vmotd', 'vegan', 'vegatarian', 'himcancooktoo', 'fit4life', 'healthiereating', 'yancyified']",0
gorilla-picnic,"['vegan', 'health', 'natural remedy', 'ginger', 'herbal remedy', 'gardening', 'plants']",0
cookingwithque,"['daiya', 'eattolive', 'detroit', 'chef', 'vegan', 'curator', 'blogger', 'plantbased', 'whathealthylookslike', 'healthy', 'cookingwithque', 'foodie', 'meateater', 'veganmacncheez', 'organic']",0
fdance,"['macandcheese', 'yum', 'cheesyaf', 'vegan', 'greenchiles', 'sogood']",0
empathic-heathen,"['vegan', 'health', 'healthyfood', 'yum']",0
rayourhighness,"['high', 'vegan', 'syh', '420', 'smileyourehigh']",0
xomodelmelissa,"['eco', 'ecofashion', 'plantatree', 'vegan']",0
